RECORDNAME,INTID,DATA
Control Type,2,3
Cycle Length,2,80
Lock Timings,2,0
Referenced To,2,3
Reference Phase,2,1
Offset,2,77
Master,2,0
Yield,2,0
Node 0,2,2
Node 1,2,0
Control Type,3,3
Cycle Length,3,110
Lock Timings,3,0
Referenced To,3,3
Reference Phase,3,408
Offset,3,86
Master,3,0
Yield,3,0
Node 0,3,3
Node 1,3,0
Control Type,5,3
Cycle Length,5,110
Lock Timings,5,0
Referenced To,5,3
Reference Phase,5,408
Offset,5,100
Master,5,0
Yield,5,0
Node 0,5,5
Node 1,5,0
Control Type,6,3
Cycle Length,6,110
Lock Timings,6,0
Referenced To,6,3
Reference Phase,6,206
Offset,6,28
Master,6,0
Yield,6,0
Node 0,6,6
Node 1,6,306
Node 2,6,0
Control Type,7,3
Cycle Length,7,110
Lock Timings,7,0
Referenced To,7,3
Reference Phase,7,1
Offset,7,19
Master,7,0
Yield,7,0
Node 0,7,7
Node 1,7,0
Control Type,8,3
Cycle Length,8,110
Lock Timings,8,0
Referenced To,8,3
Reference Phase,8,206
Offset,8,25
Master,8,0
Yield,8,0
Node 0,8,8
Node 1,8,0
Control Type,9,3
Cycle Length,9,80
Lock Timings,9,0
Referenced To,9,3
Reference Phase,9,206
Offset,9,0
Master,9,0
Yield,9,0
Node 0,9,9
Node 1,9,0
Control Type,10,3
Cycle Length,10,110
Lock Timings,10,0
Referenced To,10,3
Reference Phase,10,408
Offset,10,21
Master,10,0
Yield,10,0
Node 0,10,10
Node 1,10,0
Control Type,11,3
Cycle Length,11,70
Lock Timings,11,0
Referenced To,11,3
Reference Phase,11,1
Offset,11,0
Master,11,0
Yield,11,0
Node 0,11,11
Node 1,11,0
Control Type,12,3
Cycle Length,12,110
Lock Timings,12,0
Referenced To,12,3
Reference Phase,12,408
Offset,12,22
Master,12,0
Yield,12,0
Node 0,12,12
Node 1,12,0
Control Type,13,3
Cycle Length,13,110
Lock Timings,13,0
Referenced To,13,3
Reference Phase,13,408
Offset,13,0
Master,13,0
Yield,13,0
Node 0,13,13
Node 1,13,0
Control Type,14,2
Cycle Length,14,82
Lock Timings,14,0
Referenced To,14,0
Reference Phase,14,1
Offset,14,0
Master,14,0
Yield,14,0
Node 0,14,14
Node 1,14,0
Control Type,16,2
Cycle Length,16,108
Lock Timings,16,0
Referenced To,16,0
Reference Phase,16,4
Offset,16,72
Master,16,0
Yield,16,0
Node 0,16,16
Node 1,16,0
Control Type,17,3
Cycle Length,17,110
Lock Timings,17,0
Referenced To,17,3
Reference Phase,17,408
Offset,17,36
Master,17,0
Yield,17,0
Node 0,17,17
Node 1,17,0
Control Type,18,3
Cycle Length,18,110
Lock Timings,18,0
Referenced To,18,3
Reference Phase,18,408
Offset,18,85
Master,18,0
Yield,18,0
Node 0,18,18
Node 1,18,0
Control Type,19,3
Cycle Length,19,110
Lock Timings,19,0
Referenced To,19,3
Reference Phase,19,206
Offset,19,35
Master,19,0
Yield,19,0
Node 0,19,19
Node 1,19,0
Control Type,20,3
Cycle Length,20,110
Lock Timings,20,0
Referenced To,20,3
